año,mes,Total_de_Viajes
2013,enero,1363509
2013,febrero,1315265
2013,marzo,1055360
2013,abril,1410829
2013,mayo,1227867
2013,junio,1672229
2013,julio,1815354
2013,agosto,1946036
2013,septiembre,2081318
2013,octubre,1978420
2013,noviembre,2105869
2013,diciembre,2101470
2014,enero,1846912
2014,febrero,1805853
2014,marzo,1803160
2014,abril,1983477
2014,mayo,2184525
2014,junio,2275230
2014,julio,2376929
2014,agosto,2512830
2014,septiembre,2384870
2014,octubre,2376929
2014,noviembre,2350023
2014,diciembre,2380032
2015,enero,1913529
2015,febrero,1890902
2015,marzo,2231575
2015,abril,2294381
2015,mayo,2375693
2015,junio,2506842
2015,julio,2451282
2015,agosto,2288772
2015,septiembre,2370849
2015,octubre,2112806
2015,noviembre,2578695
2015,diciembre,2393503
2016,enero,2156555
2016,febrero,2354121
2016,marzo,2722451
2016,abril,2733102
2016,mayo,2421459
2016,junio,2431117
2016,julio,1937037
2016,agosto,2477020
2016,septiembre,2373218
2016,octubre,2011564
2016,noviembre,2435247
2016,diciembre,2290229
2017,enero,2208124
2017,febrero,1945766
2017,marzo,2382372
2017,abril,2127809
2017,mayo,2434998
2017,junio,2285093
2017,julio,1894749
2017,agosto,1879405
2017,septiembre,2050740
2017,octubre,2304805
2017,noviembre,2143027
2017,diciembre,2348246
2018,enero,2278445
2018,febrero,2211299
2018,marzo,2598092
2018,abril,2157487
2018,mayo,2419204
2018,junio,2259123
2018,julio,2444108
2018,agosto,2517540
2018,septiembre,2281388
2018,octubre,2197922
2018,noviembre,2360858
2018,diciembre,2416624
2019,enero,2089987
2019,febrero,2067866
2019,marzo,2281507
2019,abril,1915928
2019,mayo,2352595
2019,junio,2259805
2019,julio,2327666
2019,agosto,2378271
2019,septiembre,2252138
2019,octubre,2394309
2019,noviembre,2176550
2019,diciembre,2257865
2020,enero,1879721
2020,febrero,1848391
2020,marzo,1400903
2020,abril,619477
2020,mayo,1086021
2020,junio,1411223
2020,julio,1917763
2020,agosto,1577630
2020,septiembre,1363449
2020,octubre,1454962
2020,noviembre,1738046
2020,diciembre,1775572
2021,enero,1599341
2021,febrero,1625527
2021,marzo,2027787
2021,abril,1821720
2021,mayo,1738280
2021,junio,1832830
2021,julio,2104527
2021,agosto,2011202
2021,septiembre,2142839
2021,octubre,2209860
2021,noviembre,2269177
